id,Nama,Kabupaten,Rating,Total_Review,Mood_Review,Link,Kategori,mood_clean,feature_text,rating_norm,review_norm
1,Sea Circus Restaurant & Bar,Badung,4.5,1925, rating  |  masakan  |  jam buka  |  semua filter,"https://www.google.com/maps/place/Sea+Circus+Restaurant+%26+Bar/@-8.6827666,115.1342814,15z/data=!4m10!1m2!2m1!1sRestoran+hits+di+Seminyak+Bali!3m6!1s0x2dd2471028495879:0x25afbe32a4d1547e!8m2!3d-8.6827666!4d115.1533358!15sCh5SZXN0b3JhbiBoaXRzIGRpIFNlbWlueWFrIEJhbGlaICIecmVzdG9yYW4gaGl0cyBkaSBzZW1pbnlhayBiYWxpkgEPdGFjb19yZXN0YXVyYW50mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJwWmRGWkVSbVpsVlhoTVlXcEdNMko2U2xSV00wcHVZVmhrVUZwWFl4QULgAQD6AQQIABAz!16s%2Fg%2F11c0vx50fr?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",General Chill, rating   masakan   jam buka   semua filter, rating   masakan   jam buka   semua filter general chill general chill badung,0.875,0.7300506574289567
2,Kilo Kitchen Bali - Seminyak,Badung,4.5,3071, rating  |  masakan  |  jam buka  |  semua filter | semua | tinta cumi | kepiting soka | kue cokelat cair | tuna tartare | yuzu | pipi sapi | gnocchi | kue pistachio | beras hitam | kaki domba,"https://www.google.com/maps/place/Kilo+Kitchen+Bali+-+Seminyak/@-8.6827666,115.1342814,15z/data=!3m1!5s0x2dd247187a443def:0xc95d70a75b71c403!4m10!1m2!2m1!1sRestoran+hits+di+Seminyak+Bali!3m6!1s0x2dd247187a51e06f:0x43b5cbd56628c251!8m2!3d-8.6859496!4d115.1646784!15sCh5SZXN0b3JhbiBoaXRzIGRpIFNlbWlueWFrIEJhbGlaICIecmVzdG9yYW4gaGl0cyBkaSBzZW1pbnlhayBiYWxpkgERZnVzaW9uX3Jlc3RhdXJhbnSaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTmZPR1JEVmpWUlJSQULgAQD6AQUI4QEQKw!16s%2Fg%2F11b6z1y5h5?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",General Chill, rating   masakan   jam buka   semua filter tinta cumi kepiting soka kue cokelat cair tuna tartare yuzu pipi sapi gnocchi kue pistachio beras hitam kaki domba, rating   masakan   jam buka   semua filter tinta cumi kepiting soka kue cokelat cair tuna tartare yuzu pipi sapi gnocchi kue pistachio beras hitam kaki domba general chill general chill badung,0.875,0.7796643339291146
3,Bloom Neighbourhood Cafe Seminyak,Badung,4.5,1568, rating  |  masakan  |  jam buka  |  semua filter | semua | cocktail | taman | brunch | smoothies | happy hour | barista | zaman | breakfast wrap | keledai tropis | bintang supermarket seminyak,"https://www.google.com/maps/place/Bloom+Neighbourhood+Cafe+Seminyak/@-8.6936175,115.1489228,15z/data=!4m10!1m2!2m1!1sRestoran+hits+di+Seminyak+Bali!3m6!1s0x2dd24762e7ff0371:0x282cf029827c1ad9!8m2!3d-8.6936175!4d115.1679772!15sCh5SZXN0b3JhbiBoaXRzIGRpIFNlbWlueWFrIEJhbGlaICIecmVzdG9yYW4gaGl0cyBkaSBzZW1pbnlhayBiYWxpkgEKcmVzdGF1cmFudJoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQycEtVR1J0Um1GV1ZVWnFWMFpvYzJGcVpHaFViR1JNVFc1d1lWRXhSUkFC4AEA-gEECAAQOw!16s%2Fg%2F11h4c9rflx?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",Vibrant Nightlife, rating   masakan   jam buka   semua filter cocktail taman brunch smoothies happy hour barista zaman breakfast wrap keledai tropis bintang supermarket seminyak, rating   masakan   jam buka   semua filter cocktail taman brunch smoothies happy hour barista zaman breakfast wrap keledai tropis bintang supermarket seminyak vibrant nightlife vibrant nightlife badung,0.875,0.7082654733736672
4,Ku De Ta,Badung,4.5,9398, rating  |  masakan  |  jam buka  |  semua filter | semua | sunset | kolam renang | samudra | daybed | kudeta | musik palanta | musik chill out | teja | potato head beach club | baju renang,"https://www.google.com/maps/place/Ku+De+Ta/@-8.6871361,115.1356958,15z/data=!4m10!1m2!2m1!1sRestoran+hits+di+Seminyak+Bali!3m6!1s0x2dd2471b2013ebe5:0x91312ce37f0aa36a!8m2!3d-8.6871361!4d115.1547502!15sCh5SZXN0b3JhbiBoaXRzIGRpIFNlbWlueWFrIEJhbGlaICIecmVzdG9yYW4gaGl0cyBkaSBzZW1pbnlhayBiYWxpkgEKcmVzdGF1cmFudJoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQydDRWVlZ1Y0d0alJXeFBUbFJDYmxKc1dscGpSVFZFVjJ0ek0xRnRZeEFC4AEA-gEFCJ4BED4!16s%2Fg%2F1pv07tdb1?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",Sunset & View | Vibrant Nightlife | Romantic & Cozy, rating   masakan   jam buka   semua filter sunset kolam renang samudra daybed kudeta musik palanta musik chill out teja potato head beach club baju renang, rating   masakan   jam buka   semua filter sunset kolam renang samudra daybed kudeta musik palanta musik chill out teja potato head beach club baju renang sunset & view   vibrant nightlife   romantic & cozy sunset & view   vibrant nightlife   romantic & cozy badung,0.875,0.8984984934737515
5,Corner House,Badung,4.5,7914, rating  |  masakan  |  jam buka  |  semua filter | semua | promo | live music | band | oyster | fruits de mer | taco | dumpling | chicken parmigiana | bali | piring barbekyu,"https://www.google.com/maps/place/Corner+House/@-8.6871361,115.1356958,15z/data=!4m10!1m2!2m1!1sRestoran+hits+di+Seminyak+Bali!3m6!1s0x2dd2405e7fa0c025:0x9764be642cd3ecf3!8m2!3d-8.6834354!4d115.1642761!15sCh5SZXN0b3JhbiBoaXRzIGRpIFNlbWlueWFrIEJhbGlaICIecmVzdG9yYW4gaGl0cyBkaSBzZW1pbnlhayBiYWxpkgESd2VzdGVybl9yZXN0YXVyYW50mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ0V2NtUkZSalpaTWtwWVdtdEdhbE42UWsxaFIzUnRXbTAxVGs0d1JSQULgAQD6AQQIABBJ!16s%2Fg%2F1pzsfs6hh?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",Vibrant Nightlife, rating   masakan   jam buka   semua filter promo live music band oyster fruits de mer taco dumpling chicken parmigiana bali piring barbekyu, rating   masakan   jam buka   semua filter promo live music band oyster fruits de mer taco dumpling chicken parmigiana bali piring barbekyu vibrant nightlife vibrant nightlife badung,0.875,0.8802374216933384
6,Yellowstone Seminyak Ranch,Badung,4.5,674, rating  |  masakan  |  jam buka  |  semua filter | semua | banteng gila | banteng yang mengamuk | cocktail | menunggangi banteng | meja biliar | whip | musik country | keseruan | hiburan | tomahawk,"https://www.google.com/maps/place/Yellowstone+Seminyak+Ranch/@-8.691041,115.1493073,15z/data=!4m10!1m2!2m1!1sRestoran+hits+di+Seminyak+Bali!3m6!1s0x2dd24765ec36c7a7:0xc626b3a9b4c20e60!8m2!3d-8.691041!4d115.1683617!15sCh5SZXN0b3JhbiBoaXRzIGRpIFNlbWlueWFrIEJhbGlaICIecmVzdG9yYW4gaGl0cyBkaSBzZW1pbnlhayBiYWxpkgEKcmVzdGF1cmFudJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOVU5tVlFVVmxSRUFF4AEA-gEECAAQLA!16s%2Fg%2F11l773qdny?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",Vibrant Nightlife, rating   masakan   jam buka   semua filter banteng gila banteng yang mengamuk cocktail menunggangi banteng meja biliar whip musik country keseruan hiburan tomahawk, rating   masakan   jam buka   semua filter banteng gila banteng yang mengamuk cocktail menunggangi banteng meja biliar whip musik country keseruan hiburan tomahawk vibrant nightlife vibrant nightlife badung,0.875,0.6186324142357815
7,Aviary Bistro,Badung,4.5,881, rating  |  masakan  |  jam buka  |  semua filter | semua | chef | nasi goreng | f&b | pizza | sate | brunch | halal | smoothies | komang | sirloin,"https://www.google.com/maps/place/Aviary+Bistro/@-8.691041,115.1493073,15z/data=!4m10!1m2!2m1!1sRestoran+hits+di+Seminyak+Bali!3m6!1s0x2dd2473b4889ce31:0x19b9a4ef9a6cfd6c!8m2!3d-8.6836521!4d115.1564135!15sCh5SZXN0b3JhbiBoaXRzIGRpIFNlbWlueWFrIEJhbGlaICIecmVzdG9yYW4gaGl0cyBkaSBzZW1pbnlhayBiYWxpkgEKcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSa2JFbDZOREJuUlJBQuABAPoBBAgAEEA!16s%2Fg%2F11t5lsy5yf?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",General Chill, rating   masakan   jam buka   semua filter chef nasi goreng f&b pizza sate brunch halal smoothies komang sirloin, rating   masakan   jam buka   semua filter chef nasi goreng f&b pizza sate brunch halal smoothies komang sirloin general chill general chill badung,0.875,0.6470562815130867
8,Naughty Nuri's Warung Seminyak,Badung,4.5,13783, harga  |  rating  |  masakan  |  jam buka  |  semua filter | semua | mba | kentang goreng truffle | martini | pork knuckle | sate babi | sate ayam | protokol kesehatan | disinfektan,"https://www.google.com/maps/place/Naughty+Nuri's+Warung+Seminyak/@-8.6775526,115.1486255,15z/data=!4m10!1m2!2m1!1sRestoran+hits+di+Seminyak+Bali!3m6!1s0x2dd2446e28d5f997:0x457c2065160a80f!8m2!3d-8.6775526!4d115.1676799!15sCh5SZXN0b3JhbiBoaXRzIGRpIFNlbWlueWFrIEJhbGlaICIecmVzdG9yYW4gaGl0cyBkaSBzZW1pbnlhayBiYWxpkgETYmFyYmVjdWVfcmVzdGF1cmFudJoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyczVTbFpYTlhGTmExcE9Za1pzZWxOWFdrWmpiVlpoVkZad05sSnNSUkFC4AEA-gEECAAQOA!16s%2Fg%2F11b88m223n?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",Budget Friendly, harga   rating   masakan   jam buka   semua filter mba kentang goreng truffle martini pork knuckle sate babi sate ayam protokol kesehatan disinfektan, harga   rating   masakan   jam buka   semua filter mba kentang goreng truffle martini pork knuckle sate babi sate ayam protokol kesehatan disinfektan budget friendly budget friendly badung,0.875,0.9391881614000126
9,Dua Sisi Kitchen & Bar,Badung,4.5,1294, rating  |  masakan  |  jam buka  |  semua filter | semua | sarapan | konser | hotel | petang | band | gelato | nasi goreng | desi | masakan indonesia | bagel,"https://www.google.com/maps/place/Dua+Sisi+Kitchen+%26+Bar/@-8.6921415,115.1425133,15z/data=!4m10!1m2!2m1!1sRestoran+hits+di+Seminyak+Bali!3m6!1s0x2dd2471295601fcb:0x33f0345aa567c4c1!8m2!3d-8.6921415!4d115.1615677!15sCh5SZXN0b3JhbiBoaXRzIGRpIFNlbWlueWFrIEJhbGlaICIecmVzdG9yYW4gaGl0cyBkaSBzZW1pbnlhayBiYWxpkgEKcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOUVgwMVFSelZuUlJBQuABAPoBBAgqECY!16s%2Fg%2F11t4bqvwm7?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",General Chill, rating   masakan   jam buka   semua filter sarapan konser hotel petang band gelato nasi goreng desi masakan indonesia bagel, rating   masakan   jam buka   semua filter sarapan konser hotel petang band gelato nasi goreng desi masakan indonesia bagel general chill general chill badung,0.875,0.6878701441750993
10,Biku,Badung,4.5,5623, rating  |  masakan  |  jam buka  |  semua filter | semua | kue wortel | minum teh sore | nasi campur | makanan indonesia | pavlova | scone | bali | babi kecap | ramalan tarot | pai murbei,"https://www.google.com/maps/place/Biku/@-8.6921415,115.1425133,15z/data=!4m10!1m2!2m1!1sRestoran+hits+di+Seminyak+Bali!3m6!1s0x2dd246c7456d70c9:0x2419add201324cce!8m2!3d-8.6801533!4d115.1522182!15sCh5SZXN0b3JhbiBoaXRzIGRpIFNlbWlueWFrIEJhbGlaICIecmVzdG9yYW4gaGl0cyBkaSBzZW1pbnlhayBiYWxpkgEKcmVzdGF1cmFudJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSMGVEUnRkV0ZuRUFF4AEA-gEECAAQQg!16s%2Fg%2F11h10v_cn?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",General Chill, rating   masakan   jam buka   semua filter kue wortel minum teh sore nasi campur makanan indonesia pavlova scone bali babi kecap ramalan tarot pai murbei, rating   masakan   jam buka   semua filter kue wortel minum teh sore nasi campur makanan indonesia pavlova scone bali babi kecap ramalan tarot pai murbei general chill general chill badung,0.875,0.843924693266099
